,dose,y,n,litter
1,0,1,12,1
2,0,1,12,2
3,0,0,12,1
4,0,0,13,2
5,0,0,1,1
6,0,0,13,2
7,0,0,10,1
8,0,2,14,2
9,0,1,12,1
10,0,3,12,2
11,0,0,14,1
12,0,0,13,2
13,0,0,12,1
14,0,0,11,2
15,0,0,15,1
16,0,0,14,2
17,0,0,11,1
18,0,1,11,2
19,0,0,12,1
20,0,0,11,2
21,0,0,14,1
22,0,0,12,2
23,0,2,13,1
24,0,0,13,2
25,0,1,14,1
26,0,0,13,2
27,0.2,3,8,1
28,0.2,0,14,2
29,0.2,3,10,1
30,0.2,0,13,2
31,0.2,1,14,1
32,0.2,0,12,2
33,0.2,1,10,1
34,0.2,1,10,2
35,0.2,0,11,1
36,0.2,4,10,2
37,0.2,0,12,1
38,0.2,0,12,2
39,0.2,1,14,1
40,0.2,0,14,2
41,0.2,0,9,1
42,0.2,0,8,2
43,0.2,0,12,1
44,0.2,2,9,2
45,0.2,0,13,1
46,0.2,0,9,2
47,0.2,0,13,1
48,0.2,0,12,2
49,0.6,0,12,1
50,0.6,0,13,2
51,0.6,4,10,1
52,0.6,0,13,2
53,0.6,4,9,1
54,0.6,0,11,2
55,0.6,1,9,1
56,0.6,0,10,2
57,0.6,0,12,1
58,0.6,0,14,2
59,0.6,0,5,1
60,0.6,1,9,2
61,0.6,3,9,1
62,0.6,1,8,2
63,0.6,0,7,1
64,0.6,0,13,2
65,0.6,5,14,1
66,0.6,0,12,2
67,0.6,0,13,1
68,0.6,1,15,2
69,0.6,5,11,1
70,0.6,0,11,2
71,0.6,1,7,1
72,0.6,0,14,2
73,6,0,8,1
74,6,6,9,2
75,6,0,12,1
76,6,1,6,2
77,6,1,9,1
78,6,0,9,2
79,6,2,13,1
80,6,0,10,2
81,6,0,4,1
82,6,0,8,2
83,6,1,10,1
84,6,11,11,2
85,6,0,7,1
86,6,5,10,2
87,6,5,10,1
88,6,0,7,2
89,6,3,12,1
90,6,0,7,2
91,6,0,11,1
92,6,3,14,2
93,6,0,4,1
94,6,0,7,2
95,6,0,6,1
96,6,2,2,2
97,6,5,5,1
98,6,3,9,2
99,60,6,6,1
100,60,1,1,2
101,60,1,1,1
102,60,10,10,2
103,60,3,3,1
104,60,4,4,2
105,60,2,3,1
106,60,3,5,2
107,60,2,2,1
108,60,2,4,2
109,60,2,2,1
110,60,9,9,2
111,60,3,3,1
112,60,2,6,2
113,60,1,1,1
114,60,0,4,2
115,60,1,1,1
116,60,3,10,2
117,60,2,2,1
118,120,3,3,2
119,120,3,3,1
120,120,7,7,2
121,120,0,1,1
122,120,5,5,2
123,120,3,3,1
124,120,2,2,2
125,120,6,6,1
126,120,3,8,2
127,120,1,1,1
128,120,2,2,2
129,120,6,6,1
130,120,3,3,2
131,120,3,3,1
132,120,2,2,2
133,120,2,2,1
